rank,mark,wind,competitor,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,season
391,3:24.95,,Jamaica,JAM,2h2,"T. Robinson Stadium, Nassau (BAH)",2014-05-24,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.95,BAH,2014
392,3:24.98,,Russia,RUS,1f1,"Olympic Stadium, Cheboksary (RUS)",2015-06-21,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.98,RUS,2015
392,3:24.98,,Italy,ITA,7,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.98,HUN,2023
394,3:24.99,,Great Britain & NI,GBR,2h2,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.99,QAT,2019
395,3:25.00,,Great Britain & NI,GBR,2,"Olympic Stadium, London (GBR)",2017-08-13,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.0,GBR,2017
396,3:25.01,,UCLA,INT,3,"Hayward Field, Eugene, OR (USA)",2021-06-12,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.01,USA,2021
397,3:25.02,,South Carolina,INT,2f2,"Percy Beard Track, Gainesville, FL (USA)",2024-05-11,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.02,USA,2024
397,3:25.02,,Russia,RUS,4,"Letzigrund, Zürich (SUI)",2014-08-17,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.02,SUI,2014
399,3:25.03,,Netherlands,NED,2h2,"Stade de France, Paris (FRA)",2024-08-09,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.03,FRA,2024
399,3:25.03,,Arkansas,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",2025-03-29,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.03,USA,2025
401,3:25.04,,MVP Track Club,JAM,1,"Walnut, CA (USA)",2008-04-20,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.04,USA,2008
402,3:25.05,,Poland,POL,3h1,"Olympic Stadium, Athina (GRE)",2004-08-27,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.05,GRE,2004
402,3:25.05,,Great Britain & NI,GBR,2h2,"Olympic Stadium, London (GBR)",2012-08-10,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.05,GBR,2012
402,3:25.05,,University of Texas,USA,1f1,"Philadelphia, PA (USA)",2014-04-26,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.05,USA,2014
402,3:25.05,,Great Britain & NI,GBR,1,"Olympisch Stadion, Amsterdam (NED)",2016-07-10,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.05,NED,2016
402,3:25.05,,Ireland,IRL,3h2,"Stade de France, Paris (FRA)",2024-08-09,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.05,FRA,2024
407,3:25.07,,France,FRA,5h1,"National Stadium, Tokyo (JPN)",2021-08-05,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.07,JPN,2021
407,3:25.07,,Ukraine,UKR,1,"Olympiastadion, Helsinki (FIN)",2012-07-01,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.07,FIN,2012
407,3:25.07,,Netherlands,NED,1,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-03,1205.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.07,GBR,2024
410,3:25.08,,Empire Athletics,INT,1,"Percy Beard Track, Gainesville, FL (USA)",2024-03-30,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.08,USA,2024
410,3:25.08,,Hurdle Mechanic,INT,1,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",2022-04-02,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.08,USA,2022
410,3:25.08,,Germany,GER,2h2,"Olympiastadion, Berlin (GER)",2009-08-22,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.08,GER,2009
413,3:25.10,,Germany,GER,1,"Olympiastadion, München (GER)",2002-08-06,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.1,GER,2002
413,3:25.10,,United States,USA,1h3,"La Cartuja, Sevilla (ESP)",1999-08-28,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.1,ESP,1999
